frame_ms,capture_ms,ready_ms,id,lane,kind,due_ms,revision
68592,68591,68599,346,2,DOWN,68640,false
68758,68757,68768,347,1,TAP,68810,false
68925,68924,68935,348,3,DOWN,68976,false
69109,69108,69119,349,2,TAP,69147,false
69275,69274,69283,350,1,TAP,69315,false
69441,69440,69450,351,3,UP,69482,false
69608,69607,69618,352,1,TAP,69653,false
69775,69774,69786,353,3,UP,69819,false
69941,69940,69952,354,1,TAP,69989,false
70109,70108,70119,355,3,UP,70156,false
70275,70274,70283,356,1,TAP,70327,false
70442,70441,70451,357,3,UP,70494,false
70626,70625,70635,358,1,TAP,70664,false
70792,70791,70801,359,3,UP,70830,false
70959,70958,70967,360,1,TAP,71001,false
71125,71124,71134,361,3,UP,71166,false
71291,71290,71301,362,1,TAP,71336,false
71459,71458,71468,363,3,UP,71505,false
71625,71624,71635,364,1,TAP,71674,false
71792,71791,71800,365,3,UP,71841,false
71959,71958,71968,366,2,TAP,72012,false
72141,72140,72147,367,1,TAP,72180,false
72308,72307,72317,368,3,DOWN,72347,false
72475,72474,72485,369,2,TAP,72517,false
72642,72641,72652,370,1,DOWN,72685,false
72809,72808,72818,371,3,TAP,72855,false
72975,72974,72984,372,2,DOWN,73021,false
73141,73140,73151,373,1,TAP,73190,false
73308,73307,73318,374,3,TAP,73359,false
73475,73474,73485,375,2,UP,73526,false
73658,73657,73666,376,1,TAP,73697,false
73842,73841,73853,377,2,UP,73865,false
73991,73990,74000,378,1,TAP,74034,false
74158,74157,74167,379,2,UP,74201,false
74325,74324,74336,380,1,TAP,74371,false
74492,74491,74502,381,2,UP,74538,false
74658,74657,74666,382,1,TAP,74708,false
74825,74824,74829,383,2,UP,74874,false
74992,74991,75000,384,1,TAP,75046,false
75158,75157,75168,385,2,UP,75211,false
75341,75340,75351,386,1,TAP,75382,false
75508,75507,75518,387,2,UP,75549,false
75676,75675,75685,388,1,TAP,75720,false
75842,75841,75850,389,2,UP,75886,false
76009,76008,76016,390,1,TAP,76058,false
76175,76174,76185,391,2,TAP,76225,false
76342,76341,76351,392,3,TAP,76394,false
76508,76507,76517,393,1,TAP,76562,false
76692,76691,76702,394,2,TAP,76731,false
76858,76857,76862,395,3,TAP,76899,false
77025,77024,77032,396,1,TAP,77068,false
77192,77191,77202,397,2,TAP,77236,false
77358,77357,77369,398,3,TAP,77405,false
77525,77524,77529,399,1,TAP,77573,false
77691,77690,77699,400,2,TAP,77741,false
77858,77857,77867,401,3,TAP,77910,false
78042,78041,78049,402,2,TAP,78080,false
78208,78207,78215,403,3,TAP,78247,false
78375,78374,78383,404,2,TAP,78416,false
78708,78707,78716,405,3,UP,78751,false
78875,78874,78885,406,2,TAP,78923,false
79042,79041,79052,407,1,TAP,79090,false
79209,79208,79218,408,3,TAP,79260,false
79375,79374,79384,409,2,UP,79426,false
79559,79558,79569,410,3,TAP,79596,false
79708,79707,79718,411,1,DOWN,79761,false
79892,79891,79901,412,2,TAP,79933,false
80058,80057,80067,413,3,UP,80099,false
80225,80224,80233,414,2,TAP,80270,false
80392,80391,80401,415,1,TAP,80439,false
80558,80557,80567,416,3,TAP,80607,false
80725,80724,80735,417,2,UP,80773,false
80892,80891,80902,418,3,TAP,80944,false
81058,81057,81068,419,1,DOWN,81111,false
81242,81241,81252,420,2,TAP,81282,false
81409,81408,81417,421,3,UP,81448,false
81575,81574,81584,422,2,TAP,81618,false
81742,81741,81752,423,3,LEFT,81786,false
81908,81907,81918,424,2,TAP,81955,false
82075,82074,82085,425,1,DOWN,82123,false
82242,82241,82250,426,2,TAP,82293,false
82408,82407,82418,427,3,UP,82459,false
82592,82591,82602,428,2,TAP,82630,false
82742,82741,82752,429,3,UP,82796,false
82925,82924,82935,430,2,TAP,82967,false
83092,83091,83101,431,3,LEFT,83134,false
83259,83258,83268,432,2,TAP,83304,false
83425,83424,83429,433,1,DOWN,83470,false
83592,83591,83601,434,2,TAP,83642,false
83758,83757,83767,435,3,UP,83807,false
83925,83924,83935,436,2,TAP,83978,false
84092,84091,84101,437,3,UP,84144,false
84275,84274,84285,438,2,TAP,84315,false
84442,84441,84451,440,1,DOWN,84483,false
84609,84608,84617,439,3,TAP,84653,false
84775,84774,84785,441,2,UP,84818,false
84941,84940,84952,442,3,TAP,84989,false
85108,85107,85118,443,1,DOWN,85155,false
85275,85274,85283,444,2,TAP,85326,false
85442,85441,85452,445,3,UP,85493,false
85625,85624,85635,446,2,TAP,85664,false
85792,85791,85802,447,1,TAP,85833,false
85958,85957,85968,448,3,TAP,86000,false
86125,86124,86136,449,2,UP,86166,false
86292,86291,86301,450,3,TAP,86338,false
86458,86457,86467,451,1,TAP,86506,false
86625,86624,86633,452,2,TAP,86675,false
86792,86791,86802,453,3,UP,86841,false
86959,86958,86969,454,2,TAP,87012,false
87125,87124,87135,455,3,LEFT,87178,false
87308,87307,87317,456,2,TAP,87349,false
87475,87474,87483,457,1,DOWN,87515,false
87642,87641,87651,458,2,TAP,87687,false
87808,87807,87818,459,3,UP,87853,false
87976,87975,87986,460,2,TAP,88023,false
88141,88140,88151,461,3,UP,88188,false
88309,88308,88318,462,2,TAP,88361,false
88475,88474,88483,463,3,LEFT,88526,false
88658,88657,88666,464,2,TAP,88697,false
88825,88824,88834,465,1,DOWN,88863,false
88992,88991,89001,466,2,TAP,89034,false
89158,89157,89169,467,3,UP,89200,false
89325,89324,89335,468,2,TAP,89372,false
89492,89491,89501,469,3,UP,89538,false
89658,89657,89667,470,2,TAP,89708,false
89826,89825,89834,471,1,TAP,89877,false
89992,89991,90002,472,3,TAP,90045,false
90008,90008,90017,472,3,TAP,90047,true
90159,90158,90167,473,2,UP,90212,false
90342,90341,90352,474,3,TAP,90382,false
90508,90507,90519,475,1,DOWN,90548,false
90675,90674,90685,476,2,TAP,90720,false
90841,90840,90850,477,3,UP,90885,false
91009,91008,91018,478,2,TAP,91058,false
91175,91174,91184,479,1,TAP,91225,false
91341,91340,91351,480,3,TAP,91393,false
91508,91507,91518,481,2,UP,91560,false
91692,91691,91701,482,3,TAP,91732,false
91858,91857,91869,483,1,DOWN,91897,false
92025,92024,92034,484,2,TAP,92069,false
92192,92191,92201,485,3,UP,92234,false
92358,92357,92367,486,2,TAP,92405,false
92525,92524,92534,487,3,LEFT,92571,false
92691,92690,92695,488,2,TAP,92741,false
92858,92857,92868,489,1,DOWN,92909,false
93042,93041,93052,490,2,TAP,93080,false
93192,93191,93201,491,3,UP,93246,false
93375,93374,93385,492,2,TAP,93416,false
93543,93542,93553,493,3,UP,93584,false
93708,93707,93718,494,2,TAP,93753,false
93875,93874,93884,495,3,LEFT,93920,false
94042,94041,94048,496,2,TAP,94090,false
94209,94208,94215,497,1,TAP,94258,false
