time_ms,gameplay,notes,processing_ms
15411,true,2,1.004
15428,true,2,0.930
15444,true,2,0.989
15461,true,2,0.907
15477,true,2,0.907
15495,true,2,0.901
15512,true,1,0.453
15529,true,1,0.481
15545,true,1,0.483
15562,true,1,0.498
15580,true,1,0.520
15596,true,1,0.572
15612,true,1,1.044
15629,true,1,0.573
15645,true,1,0.479
15662,true,1,0.601
15679,true,1,0.539
15696,true,1,0.563
15712,true,0,0.073
15729,true,0,0.172
15746,true,0,0.154
15763,true,0,0.076
15780,true,0,0.245
15796,true,0,0.286
15812,true,0,0.115
15828,true,1,0.332
15846,true,0,0.144
15862,true,0,0.078
15881,true,0,0.078
15895,true,0,0.073
15912,true,1,0.474
15928,true,1,0.449
15945,true,1,0.898
15962,true,1,0.828
15979,true,1,0.509
15995,true,1,0.433
16003,true,1,0.434
16011,true,1,0.837
16028,true,1,0.453
16045,true,1,0.747
16062,true,1,0.680
16078,true,1,0.853
16095,true,1,0.720
16112,true,1,0.454
16128,true,2,0.811
16145,true,2,0.766
16161,true,2,0.831
16178,true,2,0.798
16195,true,2,0.811
16211,true,2,0.837
16228,true,2,0.912
16245,true,2,1.367
16261,true,2,0.829
16278,true,2,0.901
16294,true,2,0.944
16311,true,2,0.875
16328,true,2,1.952
16344,true,2,1.947
16361,true,2,0.982
16379,true,2,0.906
16395,true,1,0.442
16412,true,1,0.454
16428,true,1,0.513
16444,true,1,0.481
16463,true,1,0.460
16480,true,1,0.528
16496,true,1,0.808
16512,true,1,0.782
16529,true,1,1.028
16545,true,1,1.143
16562,true,1,0.784
16579,true,1,0.790
16596,true,1,0.528
16612,true,1,0.832
16629,true,0,0.067
16646,true,0,0.062
16662,true,0,0.103
16678,true,0,0.220
16696,true,0,0.436
16711,true,0,0.062
16727,true,0,0.292
16746,true,0,0.078
16763,true,0,0.109
16779,true,0,0.104
16796,true,0,0.158
16812,true,1,0.748
16829,true,1,0.646
16845,true,1,0.893
16861,true,1,0.672
16879,true,1,0.673
16896,true,1,0.847
16910,true,1,0.691
16927,true,1,0.505
16944,true,1,0.897
16961,true,1,0.498
16978,true,1,0.751
16995,true,1,0.796
17012,true,1,0.773
17029,true,1,0.869
17045,true,2,1.095
